,Вакансия,Зарплата
0,Инженер ПТО (вахта),от 114 000 руб.
1,Сварщик НАКС (вахта),114 000 — 120 000 руб.
2,Геодезист,135 000 — 150 000 руб.
3,Арматурщик,100 000 — 120 000 руб.
4,Менеджер по работе с клиентами,50 000 — 150 000 руб.
5,Кладовщик-комплектовщик,69 000 — 117 000 руб.
6,Слесарь-сборщик,85 000 — 90 000 руб.
7,Слесарь механосборочных работ,70 000 — 80 000 руб.
8,Автоэлектрик,до 105 000 руб.
9,Врач-неонатолог,от 140 000 руб.
10,Машинист автогрейдера,80 000 — 100 000 руб.
11,Электросварщик РД НАКС,132 000 — 158 000 руб.
12,Стикеровщик на склад алкоголя,45 000 — 80 000 руб.
13,Инженер ПТО,от 95 000 руб.
14,Комплектовщик,90 000 — 120 000 руб.
15,Комплектовщик,90 000 — 100 000 руб.
16,Слесарь-сборщик двигателей,90 000 — 95 000 руб.
17,Сварщик арматурных каркасов,100 000 — 110 000 руб.
18,Филетировщик/ца на филе рыбы (вахта),118 000 — 129 000 руб.
19,Машинист автокрана,от 131 000 руб.
